Date,Load,Zone
1/1/2019 7:00:00 PM,2010.7,CENTRL
1/1/2019 7:00:00 PM,705.8,DUNWOD
1/1/2019 7:00:00 PM,1195.2,GENESE
1/1/2019 7:00:00 PM,1194.7,HUD VL
1/1/2019 7:00:00 PM,2513.9,LONGIL
1/1/2019 7:00:00 PM,1008.9,MHK VL
1/1/2019 7:00:00 PM,357.3,MILLWD
1/1/2019 7:00:00 PM,5637,N.Y.C.
1/1/2019 7:00:00 PM,619.2,NORTH
1/1/2019 7:00:00 PM,1823,WEST
1/1/2019 8:00:00 PM,1394.2,CAPITL
1/1/2019 8:00:00 PM,1955,CENTRL
1/1/2019 8:00:00 PM,687.9,DUNWOD
1/1/2019 8:00:00 PM,1158.1,GENESE
1/1/2019 8:00:00 PM,1160,HUD VL
1/1/2019 8:00:00 PM,2446,LONGIL
1/1/2019 8:00:00 PM,969.9,MHK VL
1/1/2019 8:00:00 PM,347.3,MILLWD
1/1/2019 8:00:00 PM,5549.5,N.Y.C.
1/1/2019 8:00:00 PM,618.7,NORTH
1/1/2019 8:00:00 PM,1782.9,WEST
1/1/2019 9:00:00 PM,1318.2,CAPITL
1/1/2019 9:00:00 PM,1874.5,CENTRL
1/1/2019 9:00:00 PM,661.4,DUNWOD
1/1/2019 9:00:00 PM,1101.9,GENESE
1/1/2019 9:00:00 PM,1104.8,HUD VL
1/1/2019 9:00:00 PM,2324.9,LONGIL
1/1/2019 9:00:00 PM,931.5,MHK VL
1/1/2019 9:00:00 PM,326.2,MILLWD
1/1/2019 9:00:00 PM,5416.7,N.Y.C.
1/1/2019 9:00:00 PM,599.8,NORTH
1/1/2019 9:00:00 PM,1727.6,WEST
1/1/2019 10:00:00 PM,1234.4,CAPITL
1/1/2019 10:00:00 PM,1781,CENTRL
1/1/2019 10:00:00 PM,616.3,DUNWOD
1/1/2019 10:00:00 PM,1032.6,GENESE
1/1/2019 10:00:00 PM,1025,HUD VL
1/1/2019 10:00:00 PM,2142.6,LONGIL
1/1/2019 10:00:00 PM,870.7,MHK VL
1/1/2019 10:00:00 PM,294.1,MILLWD
1/1/2019 10:00:00 PM,5177.7,N.Y.C.
1/1/2019 10:00:00 PM,585.4,NORTH
1/1/2019 10:00:00 PM,1639.4,WEST
1/1/2019 11:00:00 PM,1163.8,CAPITL
1/1/2019 11:00:00 PM,1695.6,CENTRL
1/1/2019 11:00:00 PM,572.5,DUNWOD
1/1/2019 11:00:00 PM,974.7,GENESE
1/1/2019 11:00:00 PM,947.7,HUD VL
1/1/2019 11:00:00 PM,1960,LONGIL
1/1/2019 11:00:00 PM,837.6,MHK VL
1/1/2019 11:00:00 PM,266.6,MILLWD
1/1/2019 11:00:00 PM,4888.4,N.Y.C.
1/1/2019 11:00:00 PM,577,NORTH
1/1/2019 11:00:00 PM,1575.8,WEST
1/2/2019 12:00:00 AM,1125.5,CAPITL
1/2/2019 12:00:00 AM,1648.4,CENTRL
1/2/2019 12:00:00 AM,536.5,DUNWOD
1/2/2019 12:00:00 AM,944.1,GENESE
1/2/2019 12:00:00 AM,903,HUD VL
1/2/2019 12:00:00 AM,1824.7,LONGIL
1/2/2019 12:00:00 AM,811.5,MHK VL
1/2/2019 12:00:00 AM,247.9,MILLWD
1/2/2019 12:00:00 AM,4627.6,N.Y.C.
1/2/2019 12:00:00 AM,574.8,NORTH
1/2/2019 12:00:00 AM,1536.5,WEST
1/2/2019 1:00:00 AM,1103.8,CAPITL
1/2/2019 1:00:00 AM,1632.3,CENTRL
1/2/2019 1:00:00 AM,515.3,DUNWOD
1/2/2019 1:00:00 AM,927.3,GENESE
1/2/2019 1:00:00 AM,866.3,HUD VL
1/2/2019 1:00:00 AM,1750.5,LONGIL
1/2/2019 1:00:00 AM,803.2,MHK VL
1/2/2019 1:00:00 AM,252.5,MILLWD
1/2/2019 1:00:00 AM,4459.9,N.Y.C.
1/2/2019 1:00:00 AM,573.2,NORTH
1/2/2019 1:00:00 AM,1526.1,WEST
1/2/2019 2:00:00 AM,1104,CAPITL
1/2/2019 2:00:00 AM,1611.3,CENTRL
1/2/2019 2:00:00 AM,504.1,DUNWOD
1/2/2019 2:00:00 AM,918.3,GENESE
1/2/2019 2:00:00 AM,866.6,HUD VL
1/2/2019 2:00:00 AM,1709.2,LONGIL
1/2/2019 2:00:00 AM,795.3,MHK VL
