,electricity
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.08165158945478995
440,0.35351040471606227
441,0.43721181819647575
442,0.7390247436472391
443,0.6181116131517126
444,0.6197110324518784
445,0.44013439599870535
446,0.23449965184187327
447,0.10652514455641332
448,0.008182498849640766
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.005739305259043939
464,0.036027909625685396
465,0.07635448451014443
466,0.09421984425504847
467,0.11540434978277367
468,0.27316401270404767
469,0.38306359885035024
470,0.3665812965174238
471,0.13833168796251955
472,0.00750987062093202
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.09625690732048044
488,0.3793891688062417
489,0.6925311002245477
490,0.6757982568598364
491,0.4790640863154886
492,0.515784576064055
493,0.4742357151187244
494,0.43305094183782217
495,0.22992981230686388
496,0.03244215644294578
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.09707197791863721
512,0.2669458331198735
513,0.4841014076315119
514,0.5729545887196809
515,0.7313826612125119
516,0.7534887299119529
517,0.4472800056232399
518,0.31058813759175896
519,0.11619488246643322
520,0.012129168448596687
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.04748536237964993
536,0.20051493779876206
537,0.2750820973487258
538,0.590390440409184
539,0.5178966566999508
540,0.6176451317098003
541,0.5531129063134099
542,0.4863189017066861
543,0.3912979942319701
544,0.05539257780126325
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.22234088355119647
560,0.4845942937557679
561,0.8562214913176924
562,0.9924090858970489
563,0.944768726260731
564,1.045789385639366
565,0.6191257363239386
566,0.24685494170376257
567,0.08050857393479356
568,0.008714832878732816
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.16598732548295475
584,0.3805495149966634
585,0.6550836611673639
586,0.7160811247129032
587,0.30909888451615536
588,0.5162514015772168
589,0.3383481934395447
590,0.16507415653322413
591,0.06916166567926013
592,0.005304256503064264
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.11627910115528015
608,0.38989862177857354
609,0.41832667668643087
610,0.1516885395632632
611,0.3788793138028685
612,0.3612439975771451
613,0.21664329780922859
614,0.14487859503996361
615,0.05399766984358106
616,0.0005035821199986684
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.017160490355610895
632,0.09455972033659851
633,0.328370789702065
634,0.5663167745018453
635,0.5610279087373394
