,sink_m1,sink_m4,sink_m7,sink_m8,sink_m10,sink_m11,sink_m13,sink_m14,sink_m16,sink_m17,sink_m20,sink_m21,sink_m23,sink_m24,sink_m26,sink_m27,sink_m29,sink_m30,sink_m31,sink_m32
2019-01-02 10:00:00,-0.4115637167857754,-0.6968915998334526,-0.3128764958544346,-0.5281074555646738,-0.4419133629558185,-0.36746860090278205,-0.37861310392225955,-0.5787286436017585,-0.1755547227356618,-0.4446947848278317,-0.3584809323045005,-0.2924553790703525,-0.1997018222876551,-0.4164435194448318,-0.28309746359140764,-0.3819567277558982,-0.34482392061212674,-0.36644884913245324,-0.23599760969931793,-0.3667186664515349
2019-01-02 11:00:00,-0.41274576799221957,-0.7174281730581267,-0.3181597735867128,-0.5850322940556635,-0.32376784745286524,-0.47937788880968957,-0.4394894749487007,-0.486911840257071,-0.2322734246679379,-0.5569284748007831,-0.3489023547880421,-0.47226130481560413,-0.2926288048307368,-0.49280365334235504,-0.4582506551772434,-0.4752897480688976,-0.39561525125687896,-0.6500107248500295,-0.3106456323910667,-0.3984693444324618
2019-01-02 12:00:00,-0.39974320472133357,-0.6839499131563651,-0.31531114063031657,-0.46077315856654616,-0.3383575087473308,-0.5400429889950877,-0.4117691464748182,-0.6194970196775323,-0.2581388917796872,-0.4822980230129451,-0.4725436441610345,-0.4514129279427799,-0.3000554488093127,-0.5685186758861326,-0.3881010865316739,-0.5095375312903123,-0.4238809355514652,-0.6433828408435655,-0.32793955345612374,-0.4524339439440117
2019-01-02 13:00:00,-0.387348237864975,-0.6697930446316638,-0.2957058432245302,-0.5081531364765565,-0.3229627788834583,-0.36339885286619394,-0.4423463499047398,-0.48085205094038774,-0.22640862700771955,-0.5496712796730893,-0.35937181465212426,-0.4083541601814301,-0.3459766007040128,-0.4418878576682534,-0.3075052740054812,-0.7365979842181434,-0.36826118392546514,-0.4326618944459846,-0.33664901609205455,-0.4968967738795323
2019-01-02 14:00:00,-0.37807963074154816,-0.6695044389428553,-0.29137375262129084,-0.4677004142793491,-0.416619480219028,-0.4035215213288305,-0.3150814131873006,-0.7088209383687675,-0.21343091527399718,-0.3510596713390532,-0.48246254898894303,-0.36832862315419024,-0.1804356146467965,-0.5392370099370878,-0.3066395664916074,-0.3380051313996088,-0.4407398554397875,-0.3615087705957006,-0.15641171526323955,-0.5071782942854991
2019-01-02 15:00:00,-0.38945825450451554,-0.6650538354259694,-0.29840169482859386,-0.5638563232329168,-0.3543826930674207,-0.47534279939978547,-0.35639085633881645,-0.6296430236910767,-0.23256297453613847,-0.39335645818994447,-0.45815972555064033,-0.5108994880596315,-0.1910455465192005,-0.5195221729700711,-0.46432072731127366,-0.39367875203854996,-0.3482950758408514,-0.7437057509800293,-0.19252031252696342,-0.44786466796535324
2019-01-02 16:00:00,-0.38826515609053447,-0.6943245281803684,-0.31004264819019944,-0.5352075039189235,-0.3468068664042817,-0.378014669438582,-0.4233455024439184,-0.6717630147668436,-0.18631208592087967,-0.5358179210128802,-0.6062504063974216,-0.3786729799317133,-0.26656912120890147,-0.9746846554272444,-0.3882206204212014,-0.42583477076481047,-0.7293719265685247,-0.44846730498968995,-0.22178245906506092,-0.9035336054026418
2019-01-02 17:00:00,-0.3877127957136914,-0.6823549869813719,-0.29820455759977743,-0.5075860235698617,-0.3429263215150538,-0.40012743817630125,-0.3460428563973647,-0.5925021719953096,-0.197760613822055,-0.4261322628789405,-0.4156699949350407,-0.3914457095292604,-0.21315759836257547,-0.6052857503478551,-0.36266577525763133,-0.41570566317105695,-0.3780494707442952,-0.5314216673786764,-0.20298771798589058,-0.4456863653975185
2019-01-02 18:00:00,-0.3807641021730055,-0.6952207247929835,-0.30020550047226346,-0.5493194562591762,-0.36784690214182514,-0.4562382689641128,-0.44938197392353124,-0.606840042229701,-0.19471856291932713,-0.5456009258886797,-0.46300589528083497,-0.33720174882664705,-0.35791717969949005,-0.7029571822724997,-0.3107483727756589,-0.6110972122688892,-0.5350472260773107,-0.3985446364186017,-0.37993848934132846,-0.6751232192861496
2019-01-02 19:00:00,-0.378411046967654,-0.6722385980999867,-0.3029259942299291,-0.4701921257738397,-0.3869695450582696,-0.4281646644783317,-0.3225063492046395,-0.7166405724363096,-0.24718852477086595,-0.45778079447437886,-0.5484761034993754,-0.4585581489389046,-0.30124294506295146,-0.7635369237980344,-0.35044932715807625,-0.4745826053145983,-0.5780202183139926,-0.48968268731778947,-0.23484008779341095,-0.6326066047419805
2019-01-02 20:00:00,-0.36865636271260527,-0.6606032319090838,-0.3004519220082839,-0.5431914765369111,-0.3637535495527002,-0.4902832039437794,-0.36985181518601873,-0.5854821196088584,-0.2997949895088378,-0.3718527185797884,-0.4089605759483401,-0.6794783180267754,-0.20338671452498372,-0.5080842056186747,-0.5212912625135153,-0.29860778628481316,-0.40360782543011653,-0.7773061352727667,-0.1867662673882834,-0.4116676340274324
2019-01-02 21:00:00,-0.3613210169081293,-0.6567450295429098,-0.29023035669415603,-0.5675495432940979,-0.3756008607690472,-0.4593245410025349,-0.47133072231769013,-0.5880433284662386,-0.20908925866990188,-0.46842120977799506,-0.5063703380383301,-0.38070785007161,-0.27019768227924523,-0.7515860976418391,-0.3309633545260758,-0.5160012878899004,-0.5433190411922518,-0.5291092943973025,-0.30014197094898437,-0.6698112681514712
2019-01-02 22:00:00,-0.36012791849414827,-0.6484058441136596,-0.2771207309778685,-0.3990527014550432,-0.36329609902457505,-0.4384410167292782,-0.32615108064469644,-0.6542089088635722,-0.2138911409923011,-0.359082777422411,-0.4273644414991879,-0.3578139080652985,-0.2280868634678048,-0.4982933754614392,-0.3682749804676552,-0.3499261313466056,-0.29957907343185375,-0.5090459426400634,-0.2166383383351111,-0.4086352605102011
2019-01-02 23:00:00,-0.35634977351654157,-0.6620766398993155,-0.28102404810843223,-0.45086848059116746,-0.3272577497547315,-0.3773566025294375,-0.32974258280274166,-0.637602961518236,-0.22574932108261112,-0.3243342842792049,-0.5667897380732969,-0.46770067167670604,-0.19614715548402742,-0.7653899433773458,-0.4550081415663252,-0.3678809539679774,-0.6120140476614746,-0.6476686127773373,-0.18129209597705623,-0.5987889526287732
